Latitude,Longitude,Project Name,Address,City,Next Meeting,Project Overview,Links,Score
37.348802,-121.81709,Abra,1234 Fake Street,San Jose,6/2/2019,Reiciendis sed officiis magni. Velit amet non sed autem molestiae. Et aspernatur non reiciendis quia qui. Velit sed et voluptatem harum asperiores.,,9.5
37.347825,-121.942028,Bulbasaur,372C White Street,Santa Clara,6/3/2019,Voluptatem consequatur et perferendis ipsa. Vel ut aut dicta quod est. Porro qui asperiores et cumque qui. Ab veniam officiis amet dolorum.,www.jfalds.org,2.4
37.322077,-121.818726,Charmander,51 W West Avenue,San Jose,,Alias in quis laboriosam esse velit iste. Et necessitatibus quia sit voluptatem quaerat assumenda dolorum. Ipsum natus praesentium vel et quibusdam iste qui. Eum sequi unde et.,www.isafd.com,7.4
37.31214,-121.828403,Dragonair,9531 Myrtle Street,San Jose,,Qui excepturi aut similique expedita. Libero distinctio et dignissimos fugit qui. Sequi maiores quas a earum quae nemo voluptatibus rem. Maiores cumque neque molestiae provident ut ut laborum. Voluptatem officia ipsam in. Aliquam quisquam voluptatem rerum veniam non earum ea et.,www.ufeoia.org,9.8
37.343011,-121.921368,Eevee,93 Briarwood Street,Santa Clara,6/28/2019,Qui rerum qui atque omnis soluta repudiandae numquam. Eos doloribus non quibusdam. Illum molestias illo perspiciatis eveniet aliquid qui nisi similique. Omnis impedit odio iusto voluptates. Eligendi aut expedita beatae et error.,,6.5
37.36085,-121.925117,Fearow,29 Wintergreen Court,San Jose,7/27/2019,Libero impedit aut voluptatem magni quis exercitationem. Eius amet ut voluptatem inventore. Enim in itaque et enim sequi. Dolorum atque hic minus. Iste voluptates et impedit velit amet mollitia est qui. Et deleniti voluptatem dolor quibusdam quos hic.,,3.4
37.297469,-121.869124,Growlithe,392 E. Eastingdale Road,San Jose,,Eum placeat error sed a. Non eius aspernatur doloribus. Vitae culpa saepe ullam. Est quia consectetur dolores eum nam est eum. Ducimus recusandae vel aliquid et est possimus quam.,www.ugreaifs.com,4.6
37.3067,-121.883838,Houndoom,462 Highting Court,San Jose,1/15/2020,Sed sit id dolore sequi distinctio at explicabo. In debitis sequi magnam et doloribus deleniti. Possimus fugit qui perspiciatis facere nostrum et voluptates aut. Atque dolores quo consequatur suscipit tenetur. Ex dicta qui perferendis dolorem quia exercitationem eaque sunt.,www.foisk.org,7.3
37.326633,-121.936609,Ivysaur,938 Jump Street,Santa Clara,6/30/2019,Incidunt quod eaque amet sed. Dolorem cumque voluptatem sit. Rerum quidem autem atque. Excepturi dicta eligendi et maiores facilis tempore nam. Corporis alias porro ullam ea. Qui dolorem eum adipisci laudantium corrupti nihil.,,3.3
37.365854,-122.017793,Jolteon,412 Court Drive,Santa Clara,8/14/2019,Ut quis maiores quidem rem. Qui incidunt voluptatem voluptas et voluptatem placeat. Id in qui enim repellendus quasi dolores. Similique et vitae vel omnis consectetur.,,8.2
